y_qlow,y_qup,y_test
2.71,5.0,4.0
2.33,5.0,4.33
1.0,4.15,1.67
2.16,5.0,1.67
1.0,4.15,4.0
1.0,4.01,3.33
2.83,5.0,3.67
1.0,4.01,2.67
2.75,5.0,5.0
2.16,5.0,4.33
1.0,3.97,2.33
2.33,5.0,2.67
1.0,4.15,3.33
1.61,5.0,1.67
2.81,5.0,4.33
2.74,5.0,2.33
1.38,4.66,3.0
2.33,5.0,3.0
1.36,4.61,4.33
1.36,4.6,4.33
1.0,4.15,2.67
2.33,5.0,4.0
1.35,4.59,3.0
2.16,5.0,2.0
2.33,5.0,3.0
2.16,5.0,2.33
2.33,5.0,4.33
2.35,5.0,4.33
2.81,5.0,5.0
2.83,5.0,3.33
2.16,5.0,2.0
1.41,4.7,3.33
1.29,4.43,3.0
2.83,5.0,4.67
2.82,5.0,4.33
2.16,5.0,2.67
2.16,5.0,4.33
2.82,5.0,5.0
2.33,5.0,3.33
2.35,5.0,5.0
1.48,4.83,2.67
1.0,4.15,1.67
1.0,3.97,2.0
1.56,4.99,1.67
1.0,4.72,2.0
2.82,5.0,4.0
2.82,5.0,4.33
2.83,5.0,4.67
2.16,5.0,1.33
2.83,5.0,4.33
1.0,4.02,3.0
2.16,5.0,4.33
1.58,5.0,3.67
1.0,4.03,4.0
2.16,5.0,2.67
2.33,5.0,4.33
3.5,5.0,4.67
1.56,4.99,4.33
2.16,5.0,4.33
2.16,5.0,3.0
1.25,4.37,3.67
1.0,3.98,1.67
2.76,5.0,5.0
1.29,4.43,4.33
2.16,5.0,1.67
1.26,4.39,3.33
2.8,5.0,4.33
2.82,5.0,4.33
1.0,4.15,4.33
1.0,4.72,1.33
1.0,4.15,1.67
2.33,5.0,2.33
1.43,4.75,2.0
1.0,3.99,2.0
2.33,5.0,3.67
2.72,5.0,4.0
1.27,4.4,2.33
2.81,5.0,4.33
2.33,5.0,2.67
2.33,5.0,2.0
1.45,4.78,3.67
1.0,4.15,3.0
1.5,4.88,1.67
2.83,5.0,4.0
1.0,4.15,3.0
2.33,5.0,2.0
2.33,5.0,4.33
2.83,5.0,3.33
2.82,5.0,4.0
1.29,4.44,1.67
2.33,5.0,4.33
2.83,5.0,3.67
2.83,5.0,4.33
2.64,5.0,5.0
1.26,4.38,2.67
2.83,5.0,4.0
2.83,5.0,5.0
1.0,4.15,2.33
1.45,4.79,2.0
2.16,5.0,3.0
2.82,5.0,4.67
2.78,5.0,5.0
1.67,5.0,4.0
1.3,4.47,2.67
1.28,4.41,3.33
2.33,5.0,4.33
1.0,4.15,4.0
