y_qlow,y_qup,y_test
2.92,5.0,3.67
2.92,5.0,4.0
2.44,4.63,4.0
2.29,4.58,3.0
3.24,5.0,4.67
2.33,4.6,3.0
1.79,4.5,2.33
2.3,4.59,4.0
3.28,5.0,4.33
2.45,4.64,3.0
2.42,4.63,1.67
3.33,5.0,4.33
3.17,5.0,3.33
3.31,5.0,4.33
3.24,5.0,4.67
3.19,5.0,4.67
3.15,5.0,4.67
3.1,5.0,4.33
2.92,5.0,4.67
2.92,5.0,4.33
3.23,5.0,4.0
2.5,4.67,3.0
2.49,4.66,3.33
2.4,4.62,4.0
2.92,5.0,3.33
1.0,3.23,2.0
2.92,5.0,4.33
1.79,4.5,3.0
2.92,5.0,3.33
1.0,3.23,2.67
2.39,4.61,3.0
3.11,5.0,4.0
3.17,5.0,4.0
3.15,5.0,2.67
2.48,4.65,3.67
3.38,5.0,4.0
2.92,5.0,4.33
2.92,5.0,4.33
1.52,4.0,3.67
2.92,5.0,4.67
2.92,5.0,4.33
3.36,5.0,4.33
2.47,4.65,3.67
2.35,4.6,3.67
2.92,5.0,4.67
3.17,5.0,4.33
3.34,5.0,4.33
2.92,5.0,4.33
3.34,5.0,4.33
3.22,5.0,5.0
1.42,3.84,1.67
1.51,3.99,2.67
2.92,5.0,4.67
3.08,5.0,3.67
3.2,5.0,2.33
3.25,5.0,4.67
1.79,4.5,2.67
2.52,4.69,3.67
3.18,5.0,5.0
1.48,3.94,1.67
2.48,4.65,4.0
3.28,5.0,4.0
2.47,4.65,3.33
3.14,5.0,4.67
3.4,5.0,4.33
2.45,4.64,4.33
3.37,5.0,3.67
1.79,4.5,4.0
3.12,5.0,4.67
2.92,5.0,1.67
3.22,5.0,4.0
2.19,4.56,2.33
2.15,4.55,2.0
2.41,4.62,3.0
3.26,5.0,4.67
1.43,3.85,1.67
2.27,4.58,4.33
2.92,5.0,4.33
2.24,4.57,4.33
2.92,5.0,4.0
3.23,5.0,4.33
3.14,5.0,3.67
3.26,5.0,4.33
3.14,5.0,3.67
2.92,5.0,4.0
3.2,5.0,4.33
3.3,5.0,4.67
2.17,4.55,3.33
3.37,5.0,4.67
3.21,5.0,4.0
2.39,4.62,4.33
2.92,5.0,3.33
2.48,4.66,2.33
2.5,4.67,4.0
3.18,5.0,4.0
2.92,5.0,4.0
3.11,5.0,4.33
3.31,4.62,4.33
1.54,4.03,4.0
3.37,5.0,5.0
2.47,4.65,3.67
3.13,5.0,5.0
2.92,5.0,4.0
2.92,5.0,4.67
3.38,5.0,4.33
2.92,5.0,4.67
2.92,5.0,2.33
3.27,5.0,4.67
2.92,5.0,4.67
3.37,5.0,5.0
1.79,4.5,3.67
3.12,5.0,4.0
3.21,5.0,4.0
3.23,5.0,4.0
3.37,5.0,4.67
1.6,4.09,2.67
1.79,4.5,3.0
3.2,5.0,4.0
3.34,5.0,4.0
2.13,4.55,2.67
2.92,5.0,5.0
2.92,5.0,4.0
2.39,4.61,3.33
3.16,5.0,4.0
2.25,4.57,3.67
2.92,5.0,4.33
2.37,4.61,4.0
2.21,4.57,1.67
3.17,5.0,5.0
3.12,5.0,4.33
1.56,4.05,2.33
2.41,4.62,3.67
2.92,5.0,3.67
2.3,4.59,3.67
3.2,5.0,4.0
3.38,5.0,3.67
2.92,5.0,3.33
2.48,4.65,3.67
3.27,5.0,4.33
3.32,5.0,4.33
2.92,5.0,3.67
3.19,5.0,4.33
3.29,5.0,4.67
1.59,4.09,2.33
3.21,5.0,4.33
2.4,4.62,3.67
2.92,5.0,3.0
3.17,5.0,4.33
1.56,4.04,1.67
2.45,4.64,2.67
3.37,5.0,3.0
1.79,4.5,2.0
3.38,5.0,4.0
3.18,5.0,4.0
2.92,5.0,4.0
3.17,5.0,4.33
3.22,5.0,3.33
3.21,5.0,4.0
3.14,5.0,3.33
3.1,5.0,2.67
3.36,5.0,4.67
3.2,5.0,4.67
2.49,4.66,4.33
2.92,5.0,2.67
2.38,4.61,3.33
2.51,4.67,4.0
2.92,5.0,3.67
3.2,5.0,4.33
2.92,5.0,2.67
1.79,4.5,2.67
2.92,5.0,2.67
2.49,4.66,4.0
2.36,4.6,2.67
2.92,5.0,2.33
2.37,4.61,3.33
3.15,5.0,4.67
2.92,5.0,4.33
2.92,5.0,4.0
1.54,4.03,2.0
3.2,5.0,4.0
1.47,3.93,3.0
2.29,4.58,3.0
2.17,4.56,2.0
1.55,4.04,3.33
2.35,4.6,3.33
2.41,4.62,4.0
2.92,5.0,4.33
2.5,4.66,3.0
3.17,5.0,3.67
2.45,4.64,5.0
3.08,5.0,4.33
3.15,5.0,4.0
2.29,4.58,3.33
1.79,4.5,4.67
2.47,4.65,2.33
3.37,5.0,4.33
3.37,5.0,5.0
1.79,4.5,3.67
1.79,4.5,3.67
2.47,4.64,4.0
3.37,5.0,4.33
2.38,4.61,2.67
2.92,5.0,4.33
1.58,4.07,1.33
3.27,5.0,4.67
2.34,4.6,3.33
3.22,5.0,4.33
3.2,5.0,4.67
2.47,4.65,3.67
2.92,5.0,4.0
1.58,4.06,2.67
3.26,5.0,4.33
3.11,5.0,4.67
1.6,4.1,2.67
3.21,5.0,4.0
2.27,4.58,3.0
2.92,5.0,4.0
3.31,4.62,4.0
3.23,5.0,3.67
3.16,5.0,4.33
3.26,5.0,2.67
2.32,4.59,4.67
3.22,5.0,3.67
2.39,4.61,3.0
3.28,5.0,4.33
2.92,5.0,3.67
2.92,5.0,3.67
2.26,4.58,3.0
2.92,5.0,3.67
3.21,5.0,4.67
2.92,5.0,2.67
3.13,5.0,5.0
2.32,4.59,4.0
2.22,4.57,4.0
3.16,5.0,4.33
3.29,5.0,4.33
3.37,5.0,4.33
2.15,4.55,2.33
3.37,5.0,4.67
2.33,4.59,4.33
2.23,4.57,2.33
3.17,5.0,4.0
3.15,5.0,4.0
2.92,5.0,4.0
3.22,5.0,3.33
2.39,4.61,3.0
1.42,3.84,3.0
2.92,5.0,3.67
3.3,5.0,3.0
1.45,3.89,3.0
3.37,5.0,4.33
2.2,4.56,1.67
2.92,5.0,2.0
3.12,5.0,3.33
1.0,3.23,3.33
2.92,5.0,3.33
2.48,4.65,3.67
1.79,4.5,2.67
3.37,5.0,4.33
3.1,5.0,4.67
3.37,5.0,4.67
3.32,5.0,4.33
3.26,5.0,4.67
3.15,5.0,3.67
2.45,4.64,4.33
1.55,4.04,3.0
3.13,5.0,3.67
3.37,5.0,5.0
2.92,5.0,3.67
2.92,5.0,4.67
2.92,5.0,3.33
2.26,4.58,3.0
3.33,5.0,4.0
2.28,4.58,3.33
2.92,5.0,4.33
3.18,5.0,4.33
2.92,5.0,4.67
1.79,4.5,4.33
2.92,5.0,4.67
2.35,4.6,2.33
2.92,5.0,2.67
2.24,4.57,3.0
2.92,5.0,4.67
2.42,4.63,4.33
2.14,5.0,3.33
3.37,5.0,4.33
2.92,5.0,4.67
2.92,5.0,3.0
2.92,5.0,5.0
2.29,4.58,3.67
3.11,5.0,4.67
3.37,5.0,5.0
2.41,4.62,3.0
2.92,5.0,3.67
3.33,5.0,4.67
3.22,5.0,5.0
3.19,5.0,4.67
3.09,5.0,4.0
2.42,4.63,2.67
2.27,4.58,3.0
3.13,5.0,3.67
3.29,5.0,4.33
2.92,5.0,4.0
2.31,4.59,1.33
3.37,5.0,5.0
3.13,5.0,4.0
2.92,5.0,2.67
3.14,5.0,3.67
2.92,5.0,3.67
1.58,4.07,3.0
2.92,5.0,4.33
2.41,4.62,4.67
2.27,4.58,2.33
1.41,3.81,1.67
2.45,4.64,4.33
3.4,5.0,4.33
2.92,5.0,3.33
3.15,5.0,4.67
2.92,5.0,4.0
1.79,4.5,2.0
3.34,5.0,3.0
2.92,5.0,3.33
3.28,5.0,3.67
3.16,5.0,3.67
3.16,5.0,4.0
2.92,5.0,4.33
3.36,5.0,3.67
3.37,5.0,4.0
3.23,5.0,3.67
3.18,5.0,4.33
3.37,5.0,4.67
3.37,5.0,3.67
3.19,5.0,3.0
2.88,4.8,2.33
1.0,3.23,2.0
2.27,4.58,3.33
1.79,4.5,3.67
1.56,4.05,3.0
2.49,4.66,4.67
2.32,4.59,2.33
2.42,4.63,2.0
3.12,5.0,4.67
3.12,5.0,3.33
3.17,5.0,4.33
2.26,4.58,2.33
2.49,4.66,4.0
2.92,5.0,3.67
2.92,5.0,4.33
3.17,5.0,5.0
2.29,4.58,3.67
2.2,4.56,4.33
3.12,5.0,4.0
1.79,4.5,3.0
3.19,5.0,4.67
3.1,5.0,4.0
3.24,5.0,4.67
3.11,5.0,4.0
3.15,5.0,5.0
3.26,5.0,4.33
2.92,5.0,3.67
2.5,4.67,3.67
3.35,4.61,3.67
1.57,4.06,3.67
3.12,5.0,4.33
2.47,4.64,2.67
3.11,5.0,3.67
2.39,4.62,3.67
3.09,5.0,4.0
2.5,4.67,4.0
3.23,5.0,4.33
2.18,4.56,2.0
2.4,4.62,2.67
1.5,3.98,3.67
3.31,5.0,4.33
2.52,4.68,4.0
3.16,5.0,4.67
1.56,4.04,2.0
3.17,5.0,3.67
2.31,4.59,2.33
2.48,4.65,4.33
2.23,4.57,3.67
3.15,5.0,4.0
3.24,5.0,4.67
3.18,5.0,3.0
2.49,4.66,3.67
3.22,5.0,4.67
2.92,5.0,4.0
3.39,5.0,3.33
1.43,3.85,1.67
3.24,5.0,2.67
3.13,5.0,4.0
2.92,5.0,4.33
1.57,4.06,3.33
3.21,5.0,3.67
3.37,5.0,3.67
3.31,5.0,4.33
2.92,5.0,3.0
2.3,4.59,3.0
3.12,5.0,4.33
2.35,4.6,4.0
2.92,5.0,5.0
2.46,4.64,5.0
2.41,4.62,4.0
2.92,5.0,4.33
3.21,5.0,4.33
3.13,5.0,3.33
2.92,5.0,3.0
2.27,4.58,3.33
3.27,5.0,3.33
2.36,4.6,3.33
2.5,4.67,3.33
2.38,4.61,4.33
3.26,5.0,4.0
3.37,5.0,4.33
2.53,4.69,3.33
3.2,5.0,4.33
3.17,5.0,4.0
3.32,5.0,3.67
2.92,5.0,3.33
1.79,4.5,3.33
3.17,5.0,4.33
2.92,5.0,4.33
3.17,5.0,3.0
2.92,5.0,5.0
3.37,5.0,4.0
2.92,5.0,4.33
3.13,5.0,5.0
3.21,5.0,4.0
2.92,5.0,4.67
2.92,5.0,4.67
2.43,4.63,5.0
2.24,4.57,3.33
3.11,5.0,2.67
2.5,4.66,3.67
3.26,5.0,4.67
3.2,5.0,4.33
2.43,4.63,3.33
2.92,5.0,3.33
2.39,4.61,4.0
2.21,4.57,1.33
3.17,5.0,5.0
3.37,5.0,5.0
3.16,5.0,4.67
2.92,5.0,5.0
2.49,4.66,4.33
3.18,5.0,4.0
2.37,4.61,3.33
2.92,5.0,3.67
3.37,5.0,4.0
3.22,5.0,4.33
2.92,5.0,4.0
3.31,4.62,5.0
2.92,5.0,4.33
2.92,5.0,3.33
1.42,3.84,1.67
1.56,4.04,3.0
2.92,5.0,2.33
3.23,5.0,4.67
2.32,4.59,4.0
3.37,5.0,4.67
3.24,5.0,4.67
3.12,5.0,4.67
3.12,5.0,3.33
2.92,5.0,3.67
2.92,5.0,3.67
2.48,4.65,3.67
3.21,5.0,4.67
3.22,5.0,3.67
2.92,5.0,3.67
3.3,5.0,5.0
2.26,4.58,3.67
2.92,5.0,5.0
1.55,4.04,2.33
2.2,4.56,2.33
2.27,4.58,3.0
1.5,3.97,4.33
3.13,5.0,5.0
2.34,4.6,3.0
2.92,5.0,5.0
3.24,5.0,4.67
2.92,5.0,4.0
3.28,5.0,3.67
3.14,5.0,4.0
3.37,5.0,4.0
2.29,4.58,4.33
2.92,5.0,3.33
2.44,4.63,4.67
3.27,5.0,3.0
1.79,4.5,3.33
2.3,4.59,3.33
3.37,5.0,4.33
2.49,4.66,4.0
3.1,5.0,2.67
2.92,5.0,4.0
2.2,4.56,3.67
2.45,4.64,4.0
2.92,5.0,4.67
2.92,5.0,4.33
3.37,5.0,3.67
2.92,5.0,3.67
3.16,5.0,4.67
3.1,5.0,3.33
3.22,5.0,4.33
2.92,5.0,2.67
2.92,5.0,4.33
2.48,4.66,3.67
3.37,5.0,5.0
3.09,5.0,4.33
3.16,5.0,3.67
2.48,4.65,3.0
2.27,4.58,3.67
3.3,5.0,4.0
2.92,5.0,3.33
